80.12		# MHz
0.400000	# s
 139.799    0.650    0.006
 140.000    0.659    0.006
# A2 R2a: 10.0 R2b: 10.0 dw: -1.0
 100.000    0.628    0.006
 100.201    0.622    0.006
 100.402    0.607    0.006
 100.603    0.611    0.006
 100.804    0.619    0.006
 101.005    0.610    0.006
 101.206    0.610    0.006
 101.407    0.610    0.006
 101.608    0.610    0.006
 101.809    0.609    0.006
 102.010    0.597    0.006
 102.211    0.602    0.006
 102.412    0.585    0.006
 102.613    0.583    0.006
 102.814    0.588    0.006
 103.015    0.579    0.006
 103.216    0.570    0.006
 103.417    0.557    0.006
 103.618    0.548    0.006
 103.819    0.551    0.006
 104.020    0.552    0.006
 104.221    0.542    0.006
 104.422    0.528    0.006
 104.623    0.521    0.006
 104.824    0.507    0.006
 105.025    0.493    0.006
 105.226    0.478    0.006
 105.427    0.467    0.006
 105.628    0.463    0.006
 105.829    0.443    0.006
 106.030    0.412    0.006
 106.231    0.388    0.006
 106.432    0.364    0.006
 106.633    0.338    0.006
 106.834    0.314    0.006
 107.035    0.273    0.006
 107.236    0.241    0.006
 107.437    0.203    0.006
 107.638    0.178    0.006
 107.839    0.128    0.006
 108.040    0.081    0.006
 108.241    0.062    0.006
 108.442    0.032    0.006
 108.643    0.011    0.006
 108.844    0.007    0.006
 109.045    0.003    0.006
 109.246   -0.004    0.006
 109.447    0.006    0.006
 109.648    0.002    0.006
 109.849    0.009    0.006
 110.050   -0.002    0.006
 110.251    0.000    0.006
 110.452   -0.004    0.006
 110.653    0.007    0.006
 110.854    0.019    0.006
 111.055    0.026    0.006
 111.256    0.038    0.006
 111.457    0.071    0.006
 111.658    0.100    0.006
 111.859    0.127    0.006
 112.060    0.168    0.006
 112.261    0.216    0.006
 112.462    0.230    0.006
 112.663    0.271    0.006
 112.864    0.299    0.006
 113.065    0.332    0.006
 113.266    0.364    0.006
 113.467    0.390    0.006
 113.668    0.397    0.006
 113.869    0.416    0.006
 114.070    0.435    0.006
 114.271    0.466    0.006
 114.472    0.473    0.006
 114.673    0.488    0.006
 114.874    0.509    0.006
 115.075    0.507    0.006
 115.276    0.517    0.006
 115.477    0.533    0.006
 115.678    0.543    0.006
 115.879    0.540    0.006
 116.080    0.550    0.006
 116.281    0.560    0.006
 116.482    0.570    0.006
 116.683    0.579    0.006
 116.884    0.588    0.006
 117.085    0.580    0.006
 117.286    0.592    0.006
 117.487    0.592    0.006
 117.688    0.589    0.006
 117.889    0.600    0.006
 118.090    0.603    0.006
 118.291    0.610    0.006
 118.492    0.611    0.006
 118.693    0.620    0.006
 118.894    0.605    0.006
 119.095    0.610    0.006
 119.296    0.620    0.006
 119.497    0.615    0.006
 119.698    0.626    0.006
 119.899    0.611    0.006
 120.101    0.622    0.006
 120.302    0.628    0.006
 120.503    0.631    0.006
 120.704    0.634    0.006
 120.905    0.636    0.006
 121.106    0.636    0.006
 121.307    0.635    0.006
 121.508    0.639    0.006
 121.709    0.636    0.006
 121.910    0.640    0.006
 122.111    0.642    0.006
 122.312    0.637    0.006
 122.513    0.652    0.006
 122.714    0.642    0.006
 122.915    0.647    0.006
 123.116    0.652    0.006
 123.317    0.634    0.006
 123.518    0.647    0.006
 123.719    0.650    0.006
 123.920    0.645    0.006
 124.121    0.641    0.006
 124.322    0.647    0.006
 124.523    0.649    0.006
 124.724    0.639    0.006
 124.925    0.656    0.006
 125.126    0.653    0.006
 125.327    0.649    0.006
 125.528    0.652    0.006
 125.729    0.651    0.006
 125.930    0.656    0.006
 126.131    0.651    0.006
 126.332    0.659    0.006
 126.533    0.646    0.006
 126.734    0.648    0.006
 126.935    0.655    0.006
 127.136    0.653    0.006
 127.337    0.656    0.006
 127.538    0.652    0.006
 127.739    0.661    0.006
 127.940    0.657    0.006
 128.141    0.660    0.006
 128.342    0.658    0.006
 128.543    0.658    0.006
 128.744    0.660    0.006
 128.945    0.661    0.006
 129.146    0.659    0.006
 129.347    0.661    0.006
 129.548    0.647    0.006
 129.749    0.669    0.006
 129.950    0.666    0.006
 130.151    0.658    0.006
 130.352    0.655    0.006
 130.553    0.653    0.006
 130.754    0.660    0.006
 130.955    0.661    0.006
 131.156    0.654    0.006
 131.357    0.657    0.006
 131.558    0.661    0.006
 131.759    0.666    0.006
 131.960    0.660    0.006
 132.161    0.654    0.006
 132.362    0.663    0.006
 132.563    0.648    0.006
 132.764    0.655    0.006
 132.965    0.667    0.006
 133.166    0.670    0.006
 133.367    0.669    0.006
 133.568    0.667    0.006
 133.769    0.667    0.006
 133.970    0.673    0.006
 134.171    0.661    0.006
 134.372    0.660    0.006
 134.573    0.679    0.006
 134.774    0.662    0.006
 134.975    0.665    0.006
 135.176    0.662    0.006
 135.377    0.657    0.006
 135.578    0.666    0.006
 135.779    0.658    0.006
 135.980    0.664    0.006
 136.181    0.665    0.006
 136.382    0.660    0.006
 136.583    0.666    0.006
 136.784    0.662    0.006
 136.985    0.672    0.006
 137.186    0.672    0.006
 137.387    0.664    0.006
 137.588    0.666    0.006
 137.789    0.668    0.006
 137.990    0.673    0.006
 138.191    0.659    0.006
 138.392    0.657    0.006
 138.593    0.662    0.006
 138.794    0.665    0.006
 138.995    0.656    0.006
 139.196    0.668    0.006
 139.397    0.662    0.006
 139.598    0.662    0.006
 139.799    0.677    0.006
 140.000    0.671    0.006
# A3 R2a: 10.0 R2b: 10.0 dw: 2.0
 100.000    0.643    0.006
 100.201    0.656    0.006
 100.402    0.640    0.006
 100.603    0.652    0.006
 100.804    0.646    0.006
 101.005    0.647    0.006
 101.206    0.642    0.006
 101.407    0.645    0.006
 101.608    0.637    0.006
 101.809    0.641    0.006
 102.010    0.649    0.006
 102.211    0.631    0.006
 102.412    0.642    0.006
 102.613    0.637    0.006
 102.814    0.636    0.006
 103.015    0.628    0.006
 103.216    0.630    0.006
 103.417    0.627    0.006
 103.618    0.637    0.006
 103.819    0.629    0.006
 104.020    0.624    0.006
 104.221    0.626    0.006
 104.422    0.627    0.006
 104.623    0.641    0.006
 104.824    0.622    0.006
 105.025    0.625    0.006
 105.226    0.614    0.006
 105.427    0.615    0.006
 105.628    0.622    0.006
 105.829    0.616    0.006
 106.030    0.616    0.006
 106.231    0.609    0.006
 106.432    0.618    0.006
 106.633    0.606    0.006
 106.834    0.602    0.006
 107.035    0.598    0.006
 107.236    0.594    0.006
 107.437    0.594    0.006
 107.638    0.592    0.006
 107.839    0.583    0.006
 108.040    0.580    0.006
 108.241    0.571    0.006
 108.442    0.558    0.006
 108.643    0.552    0.006
 108.844    0.543    0.006
 109.045    0.539    0.006
 109.246    0.543    0.006
 109.447    0.535    0.006
 109.648    0.503    0.006
 109.849    0.513    0.006
 110.050    0.494    0.006
 110.251    0.479    0.006
 110.452    0.467    0.006
 110.653    0.459    0.006
 110.854    0.437    0.006
 111.055    0.410    0.006
 111.256    0.398    0.006
 111.457    0.376    0.006
 111.658    0.363    0.006
 111.859    0.319    0.006
 112.060    0.287    0.006
 112.261    0.258    0.006
 112.462    0.230    0.006
 112.663    0.188    0.006
 112.864    0.155    0.006
 113.065    0.112    0.006
 113.266    0.081    0.006
 113.467    0.060    0.006
 113.668    0.025    0.006
 113.869    0.011    0.006
 114.070    0.001    0.006
 114.271    0.010    0.006
 114.472   -0.006    0.006
 114.673   -0.000    0.006
 114.874    0.010    0.006
 115.075   -0.000    0.006
 115.276   -0.001    0.006
 115.477    0.006    0.006
 115.678   -0.006    0.006
 115.879    0.009    0.006
 116.080   -0.008    0.006
 116.281   -0.003    0.006
 116.482   -0.015    0.006
 116.683   -0.003    0.006
 116.884   -0.002    0.006
 117.085    0.010    0.006
 117.286    0.022    0.006
 117.487    0.027    0.006
 117.688    0.050    0.006
 117.889    0.088    0.006
 118.090    0.122    0.006
 118.291    0.148    0.006
 118.492    0.191    0.006
 118.693    0.251    0.006
 118.894    0.279    0.006
 119.095    0.322    0.006
 119.296    0.346    0.006
 119.497    0.384    0.006
 119.698    0.418    0.006
 119.899    0.434    0.006
 120.101    0.458    0.006
 120.302    0.474    0.006
 120.503    0.483    0.006
 120.704    0.509    0.006
 120.905    0.517    0.006
 121.106    0.525    0.006
 121.307    0.528    0.006
 121.508    0.553    0.006
 121.709    0.558    0.006
 121.910    0.560    0.006
 122.111    0.552    0.006
 122.312    0.567    0.006
 122.513    0.579    0.006
 122.714    0.595    0.006
 122.915    0.592    0.006
 123.116    0.601    0.006
 123.317    0.596    0.006
 123.518    0.602    0.006
 123.719    0.601    0.006
 123.920    0.614    0.006
 124.121    0.614    0.006
 124.322    0.608    0.006
 124.523    0.609    0.006
 124.724    0.613    0.006
 124.925    0.624    0.006
 125.126    0.605    0.006
 125.327    0.631    0.006
 125.528    0.615    0.006
 125.729    0.628    0.006
 125.930    0.620    0.006
 126.131    0.629    0.006
 126.332    0.634    0.006
 126.533    0.657    0.006
 126.734    0.631    0.006
 126.935    0.644    0.006
 127.136    0.638    0.006
 127.337    0.646    0.006
 127.538    0.636    0.006
 127.739    0.636    0.006
 127.940    0.640    0.006
 128.141    0.647    0.006
 128.342    0.639    0.006
 128.543    0.637    0.006
 128.744    0.635    0.006
 128.945    0.651    0.006
 129.146    0.638    0.006
 129.347    0.645    0.006
 129.548    0.632    0.006
 129.749    0.644    0.006
 129.950    0.658    0.006
 130.151    0.654    0.006
 130.352    0.646    0.006
 130.553    0.654    0.006
 130.754    0.646    0.006
 130.955    0.651    0.006
 131.156    0.654    0.006
 131.357    0.650    0.006
 131.558    0.652    0.006
 131.759    0.648    0.006
 131.960    0.648    0.006
 132.161    0.658    0.006
 132.362    0.644    0.006
 132.563    0.660    0.006
 132.764    0.664    0.006
 132.965    0.657    0.006
 133.166    0.660    0.006
 133.367    0.655    0.006
 133.568    0.663    0.006
 133.769    0.663    0.006
 133.970    0.653    0.006
 134.171    0.668    0.006
 134.372    0.661    0.006
 134.573    0.648    0.006
 134.774    0.664    0.006
 134.975    0.664    0.006
 135.176    0.656    0.006
 135.377    0.656    0.006
 135.578    0.651    0.006
 135.779    0.653    0.006
 135.980    0.659    0.006
 136.181    0.666    0.006
 136.382    0.674    0.006
 136.583    0.665    0.006
 136.784    0.666    0.006
 136.985    0.655    0.006
 137.186    0.666    0.006
 137.387    0.672    0.006
 137.588    0.664    0.006
 137.789    0.653    0.006
 137.990    0.658    0.006
 138.191    0.656    0.006
 138.392    0.663    0.006
 138.593    0.664    0.006
 138.794    0.669    0.006
 138.995    0.665    0.006
 139.196    0.669    0.006
 139.397    0.669    0.006
 139.598    0.665    0.006
 139.799    0.662    0.006
 140.000    0.657    0.006
# A4 R2a: 10.0 R2b: 10.0 dw: 2.0
 100.000    0.655    0.006
 100.201    0.663    0.006
 100.402    0.658    0.006
 100.603    0.648    0.006
 100.804    0.666    0.006
 101.005    0.660    0.006
 101.206    0.651    0.006
 101.407    0.661    0.006
 101.608    0.658    0.006
 101.809    0.663    0.006
 102.010    0.662    0.006
 102.211    0.645    0.006
 102.412    0.648    0.006
 102.613    0.656    0.006
 102.814    0.657    0.006
 103.015    0.654    0.006
 103.216    0.668    0.006
 103.417    0.644    0.006
 103.618    0.656    0.006
 103.819    0.664    0.006
 104.020    0.659    0.006
 104.221    0.654    0.006
 104.422    0.655    0.006
 104.623    0.653    0.006
 104.824    0.649    0.006
 105.025    0.654    0.006
 105.226    0.659    0.006
 105.427    0.648    0.006
 105.628    0.639    0.006
 105.829    0.650    0.006
 106.030    0.642    0.006
 106.231    0.643    0.006
 106.432    0.650    0.006
 106.633    0.648    0.006
 106.834    0.644    0.006
 107.035    0.632    0.006
 107.236    0.641    0.006
 107.437    0.638    0.006
 107.638    0.635    0.006
 107.839    0.639    0.006
 108.040    0.645    0.006
 108.241    0.637    0.006
 108.442    0.636    0.006
 108.643    0.642    0.006
 108.844    0.631    0.006
 109.045    0.631    0.006
 109.246    0.635    0.006
 109.447    0.639    0.006
 109.648    0.631    0.006
 109.849    0.617    0.006
 110.050    0.616    0.006
 110.251    0.611    0.006
 110.452    0.610    0.006
 110.653    0.618    0.006
 110.854    0.621    0.006
 111.055    0.627    0.006
 111.256    0.607    0.006
 111.457    0.596    0.006
 111.658    0.596    0.006
 111.859    0.599    0.006
 112.060    0.603    0.006
 112.261    0.590    0.006
 112.462    0.589    0.006
 112.663    0.574    0.006
 112.864    0.575    0.006
 113.065    0.575    0.006
 113.266    0.570    0.006
 113.467    0.576    0.006
 113.668    0.570    0.006
 113.869    0.553    0.006
 114.070    0.550    0.006
 114.271    0.531    0.006
 114.472    0.527    0.006
 114.673    0.513    0.006
 114.874    0.516    0.006
 115.075    0.500    0.006
 115.276    0.486    0.006
 115.477    0.465    0.006
 115.678    0.455    0.006
 115.879    0.441    0.006
 116.080    0.435    0.006
 116.281    0.397    0.006
 116.482    0.375    0.006
 116.683    0.349    0.006
 116.884    0.322    0.006
 117.085    0.290    0.006
 117.286    0.260    0.006
 117.487    0.218    0.006
 117.688    0.176    0.006
 117.889    0.150    0.006
 118.090    0.125    0.006
 118.291    0.081    0.006
 118.492    0.045    0.006
 118.693    0.034    0.006
 118.894    0.021    0.006
 119.095    0.009    0.006
 119.296   -0.007    0.006
 119.497   -0.003    0.006
 119.698   -0.001    0.006
 119.899    0.003    0.006
 120.101    0.000    0.006
 120.302    0.002    0.006
 120.503   -0.006    0.006
 120.704   -0.001    0.006
 120.905    0.005    0.006
 121.106   -0.002    0.006
 121.307   -0.010    0.006
 121.508   -0.002    0.006
 121.709    0.000    0.006
 121.910    0.014    0.006
 122.111   -0.001    0.006
 122.312    0.013    0.006
 122.513    0.039    0.006
 122.714    0.057    0.006
 122.915    0.083    0.006
 123.116    0.119    0.006
 123.317    0.160    0.006
 123.518    0.212    0.006
 123.719    0.251    0.006
 123.920    0.290    0.006
 124.121    0.332    0.006
 124.322    0.352    0.006
 124.523    0.388    0.006
 124.724    0.419    0.006
 124.925    0.439    0.006
 125.126    0.454    0.006
 125.327    0.470    0.006
 125.528    0.497    0.006
 125.729    0.504    0.006
 125.930    0.505    0.006
 126.131    0.529    0.006
 126.332    0.529    0.006
 126.533    0.542    0.006
 126.734    0.557    0.006
 126.935    0.560    0.006
 127.136    0.569    0.006
 127.337    0.579    0.006
 127.538    0.578    0.006
 127.739    0.567    0.006
 127.940    0.571    0.006
 128.141    0.589    0.006
 128.342    0.596    0.006
 128.543    0.601    0.006
 128.744    0.614    0.006
 128.945    0.603    0.006
 129.146    0.618    0.006
 129.347    0.613    0.006
 129.548    0.626    0.006
 129.749    0.621    0.006
 129.950    0.616    0.006
 130.151    0.631    0.006
 130.352    0.628    0.006
 130.553    0.622    0.006
 130.754    0.634    0.006
 130.955    0.628    0.006
 131.156    0.631    0.006
 131.357    0.630    0.006
 131.558    0.619    0.006
 131.759    0.641    0.006
 131.960    0.622    0.006
 132.161    0.635    0.006
 132.362    0.644    0.006
 132.563    0.644    0.006
 132.764    0.645    0.006
 132.965    0.638    0.006
 133.166    0.632    0.006
 133.367    0.645    0.006
 133.568    0.640    0.006
 133.769    0.642    0.006
 133.970    0.650    0.006
 134.171    0.643    0.006
 134.372    0.652    0.006
 134.573    0.656    0.006
 134.774    0.653    0.006
 134.975    0.646    0.006
 135.176    0.650    0.006
 135.377    0.651    0.006
 135.578    0.657    0.006
 135.779    0.647    0.006
 135.980    0.655    0.006
 136.181    0.660    0.006
 136.382    0.656    0.006
 136.583    0.647    0.006
 136.784    0.642    0.006
 136.985    0.663    0.006
 137.186    0.659    0.006
 137.387    0.646    0.006
 137.588    0.661    0.006
 137.789    0.651    0.006
 137.990    0.655    0.006
 138.191    0.647    0.006
 138.392    0.657    0.006
 138.593    0.655    0.006
 138.794    0.655    0.006
 138.995    0.659    0.006
 139.196    0.646    0.006
 139.397    0.664    0.006
 139.598    0.659    0.006
 139.799    0.649    0.006
 140.000    0.655    0.006
# A5 R2a: 10.0 R2b: 10.0 dw: -3.0
 100.000    0.668    0.006
 100.201    0.655    0.006
 100.402    0.670    0.006
 100.603    0.674    0.006
 100.804    0.663    0.006
 101.005    0.671    0.006
 101.206    0.667    0.006
 101.407    0.655    0.006
 101.608    0.666    0.006
 101.809    0.664    0.006
 102.010    0.661    0.006
 102.211    0.651    0.006
 102.412    0.664    0.006
 102.613    0.657    0.006
 102.814    0.664    0.006
 103.015    0.673    0.006
 103.216    0.660    0.006
 103.417    0.665    0.006
 103.618    0.656    0.006
 103.819    0.659    0.006
 104.020    0.662    0.006
 104.221    0.651    0.006
 104.422    0.662    0.006
 104.623    0.663    0.006
 104.824    0.651    0.006
 105.025    0.658    0.006
 105.226    0.659    0.006
 105.427    0.656    0.006
 105.628    0.667    0.006
 105.829    0.659    0.006
 106.030    0.663    0.006
 106.231    0.642    0.006
 106.432    0.649    0.006
 106.633    0.664    0.006
 106.834    0.658    0.006
 107.035    0.667    0.006
 107.236    0.658    0.006
 107.437    0.648    0.006
 107.638    0.662    0.006
 107.839    0.657    0.006
 108.040    0.654    0.006
 108.241    0.664    0.006
 108.442    0.665    0.006
 108.643    0.649    0.006
 108.844    0.652    0.006
 109.045    0.652    0.006
 109.246    0.641    0.006
 109.447    0.652    0.006
 109.648    0.648    0.006
 109.849    0.650    0.006
 110.050    0.649    0.006
 110.251    0.649    0.006
 110.452    0.636    0.006
 110.653    0.649    0.006
 110.854    0.652    0.006
 111.055    0.629    0.006
 111.256    0.644    0.006
 111.457    0.636    0.006
 111.658    0.638    0.006
 111.859    0.630    0.006
 112.060    0.639    0.006
 112.261    0.641    0.006
 112.462    0.633    0.006
 112.663    0.640    0.006
 112.864    0.640    0.006
 113.065    0.636    0.006
 113.266    0.631    0.006
 113.467    0.637    0.006
 113.668    0.633    0.006
 113.869    0.622    0.006
 114.070    0.622    0.006
 114.271    0.611    0.006
 114.472    0.613    0.006
 114.673    0.615    0.006
 114.874    0.613    0.006
 115.075    0.613    0.006
 115.276    0.606    0.006
 115.477    0.604    0.006
 115.678    0.615    0.006
 115.879    0.596    0.006
 116.080    0.589    0.006
 116.281    0.592    0.006
 116.482    0.580    0.006
 116.683    0.567    0.006
 116.884    0.576    0.006
 117.085    0.566    0.006
 117.286    0.569    0.006
 117.487    0.547    0.006
 117.688    0.555    0.006
 117.889    0.537    0.006
 118.090    0.519    0.006
 118.291    0.501    0.006
 118.492    0.506    0.006
 118.693    0.479    0.006
 118.894    0.455    0.006
 119.095    0.441    0.006
 119.296    0.407    0.006
 119.497    0.372    0.006
 119.698    0.355    0.006
 119.899    0.304    0.006
 120.101    0.273    0.006
 120.302    0.235    0.006
 120.503    0.181    0.006
 120.704    0.150    0.006
 120.905    0.104    0.006
 121.106    0.070    0.006
 121.307    0.040    0.006
 121.508    0.025    0.006
 121.709    0.004    0.006
 121.910    0.016    0.006
 122.111    0.008    0.006
 122.312    0.003    0.006
 122.513    0.003    0.006
 122.714    0.003    0.006
 122.915   -0.002    0.006
 123.116    0.004    0.006
 123.317    0.006    0.006
 123.518    0.002    0.006
 123.719   -0.000    0.006
 123.920    0.011    0.006
 124.121   -0.002    0.006
 124.322    0.010    0.006
 124.523    0.007    0.006
 124.724    0.002    0.006
 124.925   -0.001    0.006
 125.126    0.012    0.006
 125.327   -0.003    0.006
 125.528    0.002    0.006
 125.729    0.008    0.006
 125.930    0.017    0.006
 126.131    0.018    0.006
 126.332    0.024    0.006
 126.533    0.041    0.006
 126.734    0.073    0.006
 126.935    0.090    0.006
 127.136    0.128    0.006
 127.337    0.163    0.006
 127.538    0.204    0.006
 127.739    0.236    0.006
 127.940    0.271    0.006
 128.141    0.302    0.006
 128.342    0.333    0.006
 128.543    0.349    0.006
 128.744    0.377    0.006
 128.945    0.407    0.006
 129.146    0.421    0.006
 129.347    0.441    0.006
 129.548    0.452    0.006
 129.749    0.477    0.006
 129.950    0.489    0.006
 130.151    0.498    0.006
 130.352    0.508    0.006
 130.553    0.527    0.006
 130.754    0.531    0.006
 130.955    0.533    0.006
 131.156    0.539    0.006
 131.357    0.555    0.006
 131.558    0.566    0.006
 131.759    0.566    0.006
 131.960    0.577    0.006
 132.161    0.578    0.006
 132.362    0.594    0.006
 132.563    0.590    0.006
 132.764    0.595    0.006
 132.965    0.596    0.006
 133.166    0.603    0.006
 133.367    0.597    0.006
 133.568    0.595    0.006
 133.769    0.613    0.006
 133.970    0.606    0.006
 134.171    0.622    0.006
 134.372    0.616    0.006
 134.573    0.626    0.006
 134.774    0.616    0.006
 134.975    0.625    0.006
 135.176    0.625    0.006
 135.377    0.626    0.006
 135.578    0.626    0.006
 135.779    0.629    0.006
 135.980    0.636    0.006
 136.181    0.637    0.006
 136.382    0.629    0.006
 136.583    0.643    0.006
 136.784    0.634    0.006
 136.985    0.630    0.006
 137.186    0.636    0.006
 137.387    0.645    0.006
 137.588    0.645    0.006
 137.789    0.654    0.006
 137.990    0.649    0.006
 138.191    0.626    0.006
 138.392    0.647    0.006
 138.593    0.646    0.006
 138.794    0.637    0.006
 138.995    0.637    0.006
 139.196    0.655    0.006
 139.397    0.650    0.006
 139.598    0.645    0.006
 139.799    0.647    0.006
 140.000    0.651    0.006
