80.12		# MHz
0.400000	# s
 126.332    0.661    0.006
 126.533    0.670    0.006
 126.734    0.677    0.006
 126.935    0.668    0.006
 127.136    0.679    0.006
 127.337    0.678    0.006
 127.538    0.676    0.006
 127.739    0.675    0.006
 127.940    0.675    0.006
 128.141    0.670    0.006
 128.342    0.664    0.006
 128.543    0.670    0.006
 128.744    0.663    0.006
 128.945    0.667    0.006
 129.146    0.672    0.006
 129.347    0.679    0.006
 129.548    0.673    0.006
 129.749    0.672    0.006
 129.950    0.672    0.006
 130.151    0.670    0.006
 130.352    0.666    0.006
 130.553    0.671    0.006
 130.754    0.678    0.006
 130.955    0.674    0.006
 131.156    0.676    0.006
 131.357    0.664    0.006
 131.558    0.680    0.006
 131.759    0.671    0.006
 131.960    0.669    0.006
 132.161    0.658    0.006
 132.362    0.668    0.006
 132.563    0.671    0.006
 132.764    0.667    0.006
 132.965    0.674    0.006
 133.166    0.668    0.006
 133.367    0.676    0.006
 133.568    0.661    0.006
 133.769    0.667    0.006
 133.970    0.676    0.006
 134.171    0.674    0.006
 134.372    0.658    0.006
 134.573    0.676    0.006
 134.774    0.669    0.006
 134.975    0.674    0.006
 135.176    0.672    0.006
 135.377    0.673    0.006
 135.578    0.670    0.006
 135.779    0.675    0.006
 135.980    0.666    0.006
 136.181    0.655    0.006
 136.382    0.674    0.006
 136.583    0.656    0.006
 136.784    0.662    0.006
 136.985    0.678    0.006
 137.186    0.676    0.006
 137.387    0.670    0.006
 137.588    0.670    0.006
 137.789    0.677    0.006
 137.990    0.679    0.006
 138.191    0.673    0.006
 138.392    0.667    0.006
 138.593    0.663    0.006
 138.794    0.666    0.006
 138.995    0.663    0.006
 139.196    0.678    0.006
 139.397    0.670    0.006
 139.598    0.669    0.006
 139.799    0.669    0.006
 140.000    0.672    0.006
# A3 R2a: 10.0 R2b: 10.0 dw: 2.0
 100.000    0.665    0.006
 100.201    0.675    0.006
 100.402    0.677    0.006
 100.603    0.653    0.006
 100.804    0.663    0.006
 101.005    0.665    0.006
 101.206    0.666    0.006
 101.407    0.657    0.006
 101.608    0.660    0.006
 101.809    0.670    0.006
 102.010    0.669    0.006
 102.211    0.673    0.006
 102.412    0.668    0.006
 102.613    0.661    0.006
 102.814    0.676    0.006
 103.015    0.668    0.006
 103.216    0.670    0.006
 103.417    0.675    0.006
 103.618    0.666    0.006
 103.819    0.666    0.006
 104.020    0.662    0.006
 104.221    0.674    0.006
 104.422    0.665    0.006
 104.623    0.662    0.006
 104.824    0.667    0.006
 105.025    0.660    0.006
 105.226    0.679    0.006
 105.427    0.665    0.006
 105.628    0.678    0.006
 105.829    0.679    0.006
 106.030    0.676    0.006
 106.231    0.674    0.006
 106.432    0.666    0.006
 106.633    0.670    0.006
 106.834    0.674    0.006
 107.035    0.659    0.006
 107.236    0.681    0.006
 107.437    0.664    0.006
 107.638    0.662    0.006
 107.839    0.665    0.006
 108.040    0.678    0.006
 108.241    0.673    0.006
 108.442    0.677    0.006
 108.643    0.666    0.006
 108.844    0.676    0.006
 109.045    0.668    0.006
 109.246    0.672    0.006
 109.447    0.663    0.006
 109.648    0.673    0.006
 109.849    0.663    0.006
 110.050    0.668    0.006
 110.251    0.663    0.006
 110.452    0.674    0.006
 110.653    0.658    0.006
 110.854    0.676    0.006
 111.055    0.670    0.006
 111.256    0.669    0.006
 111.457    0.665    0.006
 111.658    0.664    0.006
 111.859    0.662    0.006
 112.060    0.654    0.006
 112.261    0.660    0.006
 112.462    0.664    0.006
 112.663    0.660    0.006
 112.864    0.650    0.006
 113.065    0.652    0.006
 113.266    0.649    0.006
 113.467    0.652    0.006
 113.668    0.635    0.006
 113.869    0.623    0.006
 114.070    0.597    0.006
 114.271    0.537    0.006
 114.472    0.447    0.006
 114.673    0.238    0.006
 114.874    0.016    0.006
 115.075   -0.006    0.006
 115.276    0.093    0.006
 115.477    0.287    0.006
 115.678    0.395    0.006
 115.879    0.462    0.006
 116.080    0.490    0.006
 116.281    0.498    0.006
 116.482    0.495    0.006
 116.683    0.487    0.006
 116.884    0.496    0.006
 117.085    0.527    0.006
 117.286    0.563    0.006
 117.487    0.589    0.006
 117.688    0.614    0.006
 117.889    0.640    0.006
 118.090    0.650    0.006
 118.291    0.655    0.006
 118.492    0.667    0.006
 118.693    0.661    0.006
 118.894    0.668    0.006
 119.095    0.664    0.006
 119.296    0.675    0.006
 119.497    0.661    0.006
 119.698    0.668    0.006
 119.899    0.674    0.006
 120.101    0.675    0.006
 120.302    0.664    0.006
 120.503    0.685    0.006
 120.704    0.675    0.006
 120.905    0.669    0.006
 121.106    0.670    0.006
 121.307    0.674    0.006
 121.508    0.677    0.006
 121.709    0.665    0.006
 121.910    0.670    0.006
 122.111    0.663    0.006
 122.312    0.673    0.006
 122.513    0.665    0.006
 122.714    0.666    0.006
 122.915    0.675    0.006
 123.116    0.677    0.006
 123.317    0.670    0.006
 123.518    0.665    0.006
 123.719    0.666    0.006
 123.920    0.659    0.006
 124.121    0.676    0.006
 124.322    0.674    0.006
 124.523    0.666    0.006
 124.724    0.663    0.006
 124.925    0.665    0.006
 125.126    0.673    0.006
 125.327    0.664    0.006
 125.528    0.674    0.006
 125.729    0.675    0.006
 125.930    0.663    0.006
 126.131    0.674    0.006
 126.332    0.657    0.006
 126.533    0.665    0.006
 126.734    0.667    0.006
 126.935    0.674    0.006
 127.136    0.665    0.006
 127.337    0.675    0.006
 127.538    0.665    0.006
 127.739    0.665    0.006
 127.940    0.668    0.006
 128.141    0.662    0.006
 128.342    0.667    0.006
 128.543    0.662    0.006
 128.744    0.670    0.006
 128.945    0.669    0.006
 129.146    0.676    0.006
 129.347    0.661    0.006
 129.548    0.671    0.006
 129.749    0.670    0.006
 129.950    0.672    0.006
 130.151    0.667    0.006
 130.352    0.670    0.006
 130.553    0.661    0.006
 130.754    0.674    0.006
 130.955    0.679    0.006
 131.156    0.669    0.006
 131.357    0.662    0.006
 131.558    0.673    0.006
 131.759    0.675    0.006
 131.960    0.665    0.006
 132.161    0.668    0.006
 132.362    0.667    0.006
 132.563    0.665    0.006
 132.764    0.671    0.006
 132.965    0.674    0.006
 133.166    0.664    0.006
 133.367    0.658    0.006
 133.568    0.658    0.006
 133.769    0.667    0.006
 133.970    0.657    0.006
 134.171    0.672    0.006
 134.372    0.676    0.006
 134.573    0.661    0.006
 134.774    0.672    0.006
 134.975    0.668    0.006
 135.176    0.656    0.006
 135.377    0.670    0.006
 135.578    0.655    0.006
 135.779    0.670    0.006
 135.980    0.656    0.006
 136.181    0.670    0.006
 136.382    0.663    0.006
 136.583    0.680    0.006
 136.784    0.672    0.006
 136.985    0.662    0.006
 137.186    0.674    0.006
 137.387    0.667    0.006
 137.588    0.666    0.006
 137.789    0.667    0.006
 137.990    0.672    0.006
 138.191    0.677    0.006
 138.392    0.675    0.006
 138.593    0.664    0.006
 138.794    0.672    0.006
 138.995    0.674    0.006
 139.196    0.674    0.006
 139.397    0.663    0.006
 139.598    0.671    0.006
 139.799    0.670    0.006
 140.000    0.663    0.006
# A4 R2a: 10.0 R2b: 10.0 dw: 2.0
 100.000    0.677    0.006
 100.201    0.681    0.006
 100.402    0.669    0.006
 100.603    0.677    0.006
 100.804    0.667    0.006
 101.005    0.673    0.006
 101.206    0.668    0.006
 101.407    0.664    0.006
 101.608    0.684    0.006
 101.809    0.661    0.006
 102.010    0.676    0.006
 102.211    0.676    0.006
 102.412    0.662    0.006
 102.613    0.666    0.006
 102.814    0.669    0.006
 103.015    0.667    0.006
 103.216    0.670    0.006
 103.417    0.671    0.006
 103.618    0.656    0.006
 103.819    0.674    0.006
 104.020    0.668    0.006
 104.221    0.668    0.006
 104.422    0.680    0.006
 104.623    0.672    0.006
 104.824    0.674    0.006
 105.025    0.667    0.006
 105.226    0.666    0.006
 105.427    0.681    0.006
 105.628    0.670    0.006
 105.829    0.658    0.006
 106.030    0.674    0.006
 106.231    0.670    0.006
 106.432    0.662    0.006
 106.633    0.670    0.006
 106.834    0.666    0.006
 107.035    0.661    0.006
 107.236    0.671    0.006
 107.437    0.673    0.006
 107.638    0.664    0.006
 107.839    0.663    0.006
 108.040    0.665    0.006
 108.241    0.668    0.006
 108.442    0.673    0.006
 108.643    0.667    0.006
 108.844    0.668    0.006
 109.045    0.665    0.006
 109.246    0.672    0.006
 109.447    0.672    0.006
 109.648    0.675    0.006
 109.849    0.673    0.006
 110.050    0.666    0.006
 110.251    0.666    0.006
 110.452    0.662    0.006
 110.653    0.667    0.006
 110.854    0.670    0.006
 111.055    0.671    0.006
 111.256    0.659    0.006
 111.457    0.660    0.006
 111.658    0.666    0.006
 111.859    0.665    0.006
 112.060    0.670    0.006
 112.261    0.671    0.006
 112.462    0.658    0.006
 112.663    0.675    0.006
 112.864    0.665    0.006
 113.065    0.668    0.006
 113.266    0.662    0.006
 113.467    0.678    0.006
 113.668    0.662    0.006
 113.869    0.662    0.006
 114.070    0.671    0.006
 114.271    0.660    0.006
 114.472    0.670    0.006
 114.673    0.664    0.006
 114.874    0.660    0.006
 115.075    0.659    0.006
 115.276    0.668    0.006
 115.477    0.674    0.006
 115.678    0.665    0.006
 115.879    0.665    0.006
 116.080    0.668    0.006
 116.281    0.662    0.006
 116.482    0.664    0.006
 116.683    0.654    0.006
 116.884    0.660    0.006
 117.085    0.664    0.006
 117.286    0.671    0.006
 117.487    0.656    0.006
 117.688    0.658    0.006
 117.889    0.661    0.006
 118.090    0.661    0.006
 118.291    0.652    0.006
 118.492    0.641    0.006
 118.693    0.632    0.006
 118.894    0.614    0.006
 119.095    0.594    0.006
 119.296    0.540    0.006
 119.497    0.441    0.006
 119.698    0.206    0.006
 119.899   -0.005    0.006
 120.101    0.001    0.006
 120.302    0.111    0.006
 120.503    0.299    0.006
 120.704    0.405    0.006
 120.905    0.451    0.006
 121.106    0.490    0.006
 121.307    0.505    0.006
 121.508    0.494    0.006
 121.709    0.492    0.006
 121.910    0.500    0.006
 122.111    0.529    0.006
 122.312    0.575    0.006
 122.513    0.612    0.006
 122.714    0.626    0.006
 122.915    0.653    0.006
 123.116    0.651    0.006
 123.317    0.661    0.006
 123.518    0.666    0.006
 123.719    0.660    0.006
 123.920    0.656    0.006
 124.121    0.661    0.006
 124.322    0.665    0.006
 124.523    0.666    0.006
 124.724    0.676    0.006
 124.925    0.670    0.006
 125.126    0.674    0.006
 125.327    0.665    0.006
 125.528    0.657    0.006
 125.729    0.677    0.006
 125.930    0.673    0.006
 126.131    0.664    0.006
 126.332    0.670    0.006
 126.533    0.668    0.006
 126.734    0.660    0.006
 126.935    0.659    0.006
 127.136    0.676    0.006
 127.337    0.665    0.006
 127.538    0.670    0.006
 127.739    0.671    0.006
 127.940    0.669    0.006
 128.141    0.662    0.006
 128.342    0.666    0.006
 128.543    0.662    0.006
 128.744    0.664    0.006
 128.945    0.671    0.006
 129.146    0.680    0.006
 129.347    0.671    0.006
 129.548    0.676    0.006
 129.749    0.686    0.006
 129.950    0.680    0.006
 130.151    0.673    0.006
 130.352    0.662    0.006
 130.553    0.666    0.006
 130.754    0.659    0.006
 130.955    0.665    0.006
 131.156    0.656    0.006
 131.357    0.672    0.006
 131.558    0.671    0.006
 131.759    0.668    0.006
 131.960    0.665    0.006
 132.161    0.662    0.006
 132.362    0.672    0.006
 132.563    0.669    0.006
 132.764    0.665    0.006
 132.965    0.674    0.006
 133.166    0.660    0.006
 133.367    0.670    0.006
 133.568    0.676    0.006
 133.769    0.668    0.006
 133.970    0.682    0.006
 134.171    0.674    0.006
 134.372    0.667    0.006
 134.573    0.676    0.006
 134.774    0.686    0.006
 134.975    0.673    0.006
 135.176    0.671    0.006
 135.377    0.680    0.006
 135.578    0.677    0.006
 135.779    0.666    0.006
 135.980    0.659    0.006
 136.181    0.671    0.006
 136.382    0.671    0.006
 136.583    0.672    0.006
 136.784    0.670    0.006
 136.985    0.670    0.006
 137.186    0.675    0.006
 137.387    0.664    0.006
 137.588    0.680    0.006
 137.789    0.675    0.006
 137.990    0.671    0.006
 138.191    0.675    0.006
 138.392    0.679    0.006
 138.593    0.667    0.006
 138.794    0.678    0.006
 138.995    0.667    0.006
 139.196    0.683    0.006
 139.397    0.684    0.006
 139.598    0.672    0.006
 139.799    0.673    0.006
 140.000    0.676    0.006
# A5 R2a: 10.0 R2b: 10.0 dw: -3.0
 100.000    0.664    0.006
 100.201    0.668    0.006
 100.402    0.668    0.006
 100.603    0.669    0.006
 100.804    0.660    0.006
 101.005    0.670    0.006
 101.206    0.671    0.006
 101.407    0.673    0.006
 101.608    0.665    0.006
 101.809    0.677    0.006
 102.010    0.668    0.006
 102.211    0.669    0.006
 102.412    0.669    0.006
 102.613    0.659    0.006
 102.814    0.669    0.006
 103.015    0.676    0.006
 103.216    0.674    0.006
 103.417    0.664    0.006
 103.618    0.672    0.006
 103.819    0.669    0.006
 104.020    0.667    0.006
 104.221    0.664    0.006
 104.422    0.665    0.006
 104.623    0.667    0.006
 104.824    0.672    0.006
 105.025    0.676    0.006
 105.226    0.658    0.006
 105.427    0.671    0.006
 105.628    0.673    0.006
 105.829    0.671    0.006
 106.030    0.662    0.006
 106.231    0.668    0.006
 106.432    0.665    0.006
 106.633    0.680    0.006
 106.834    0.676    0.006
 107.035    0.675    0.006
 107.236    0.668    0.006
 107.437    0.673    0.006
 107.638    0.672    0.006
 107.839    0.674    0.006
 108.040    0.666    0.006
 108.241    0.670    0.006
 108.442    0.672    0.006
 108.643    0.673    0.006
 108.844    0.669    0.006
 109.045    0.665    0.006
 109.246    0.678    0.006
 109.447    0.679    0.006
 109.648    0.670    0.006
 109.849    0.671    0.006
 110.050    0.668    0.006
 110.251    0.664    0.006
 110.452    0.669    0.006
 110.653    0.666    0.006
 110.854    0.675    0.006
 111.055    0.677    0.006
 111.256    0.666    0.006
 111.457    0.674    0.006
 111.658    0.672    0.006
 111.859    0.678    0.006
 112.060    0.659    0.006
 112.261    0.683    0.006
 112.462    0.665    0.006
 112.663    0.678    0.006
 112.864    0.667    0.006
 113.065    0.676    0.006
 113.266    0.669    0.006
 113.467    0.661    0.006
 113.668    0.677    0.006
 113.869    0.660    0.006
 114.070    0.671    0.006
 114.271    0.678    0.006
 114.472    0.667    0.006
 114.673    0.667    0.006
 114.874    0.665    0.006
 115.075    0.671    0.006
 115.276    0.680    0.006
 115.477    0.665    0.006
 115.678    0.669    0.006
 115.879    0.678    0.006
 116.080    0.674    0.006
 116.281    0.674    0.006
 116.482    0.670    0.006
 116.683    0.658    0.006
 116.884    0.662    0.006
 117.085    0.669    0.006
 117.286    0.662    0.006
 117.487    0.674    0.006
 117.688    0.659    0.006
 117.889    0.669    0.006
 118.090    0.667    0.006
 118.291    0.678    0.006
 118.492    0.673    0.006
 118.693    0.671    0.006
 118.894    0.661    0.006
 119.095    0.678    0.006
 119.296    0.663    0.006
 119.497    0.662    0.006
 119.698    0.668    0.006
 119.899    0.662    0.006
 120.101    0.659    0.006
 120.302    0.664    0.006
 120.503    0.670    0.006
 120.704    0.659    0.006
 120.905    0.646    0.006
 121.106    0.635    0.006
 121.307    0.614    0.006
 121.508    0.596    0.006
 121.709    0.566    0.006
 121.910    0.523    0.006
 122.111    0.511    0.006
 122.312    0.515    0.006
 122.513    0.541    0.006
 122.714    0.548    0.006
 122.915    0.579    0.006
 123.116    0.575    0.006
 123.317    0.567    0.006
 123.518    0.565    0.006
 123.719    0.564    0.006
 123.920    0.540    0.006
 124.121    0.499    0.006
 124.322    0.439    0.006
 124.523    0.318    0.006
 124.724    0.099    0.006
 124.925   -0.007    0.006
 125.126    0.006    0.006
 125.327    0.224    0.006
 125.528    0.430    0.006
 125.729    0.530    0.006
 125.930    0.590    0.006
 126.131    0.608    0.006
 126.332    0.635    0.006
 126.533    0.643    0.006
 126.734    0.647    0.006
 126.935    0.653    0.006
 127.136    0.659    0.006
 127.337    0.656    0.006
 127.538    0.658    0.006
 127.739    0.664    0.006
 127.940    0.667    0.006
 128.141    0.668    0.006
 128.342    0.667    0.006
 128.543    0.660    0.006
 128.744    0.654    0.006
 128.945    0.658    0.006
 129.146    0.669    0.006
 129.347    0.670    0.006
 129.548    0.677    0.006
 129.749    0.664    0.006
 129.950    0.675    0.006
 130.151    0.665    0.006
 130.352    0.674    0.006
 130.553    0.664    0.006
 130.754    0.675    0.006
 130.955    0.675    0.006
 131.156    0.678    0.006
 131.357    0.662    0.006
 131.558    0.654    0.006
 131.759    0.664    0.006
 131.960    0.671    0.006
 132.161    0.667    0.006
 132.362    0.666    0.006
 132.563    0.672    0.006
 132.764    0.667    0.006
 132.965    0.671    0.006
 133.166    0.674    0.006
 133.367    0.670    0.006
 133.568    0.666    0.006
 133.769    0.667    0.006
 133.970    0.666    0.006
 134.171    0.681    0.006
 134.372    0.674    0.006
 134.573    0.666    0.006
 134.774    0.675    0.006
 134.975    0.678    0.006
 135.176    0.668    0.006
 135.377    0.663    0.006
 135.578    0.675    0.006
 135.779    0.665    0.006
 135.980    0.670    0.006
 136.181    0.668    0.006
 136.382    0.669    0.006
 136.583    0.663    0.006
 136.784    0.673    0.006
 136.985    0.671    0.006
 137.186    0.668    0.006
 137.387    0.670    0.006
 137.588    0.670    0.006
 137.789    0.673    0.006
 137.990    0.661    0.006
 138.191    0.667    0.006
 138.392    0.673    0.006
 138.593    0.671    0.006
 138.794    0.671    0.006
 138.995    0.673    0.006
 139.196    0.663    0.006
 139.397    0.672    0.006
 139.598    0.670    0.006
 139.799    0.670    0.006
 140.000    0.677    0.006
